Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2020,Bihar,375707,135679,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Himachal Pradesh,103545,31306,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Delhi,1238245,1365110,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Kerala,545024,354384,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Western Region,3633175,3439907,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Chandigarh,72552,78690,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Tamil Nadu,899038,966506,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Sikkim,10130,3159,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Jharkhand,234106,66703,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Northern Region,2853810,2365364,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Andaman & Nicobar Islands,5811,2381,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Rajasthan,420150,334449,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Lakshadweep,1115,97,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,All India,13748655,10518812,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Punjab,410987,234738,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Puducherry,20043,12823,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Maharashtra,2807751,2863779,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Mizoram,11332,4087,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Dadra & Nagar Haveli,9979,4458,Figures include Daman & Diu as well.,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Odisha,341140,134862,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Nagaland,12242,4596,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Telangana,498184,516131,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Jammu & Kashmir,128026,58663,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Meghalaya,23756,8374,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Daman & Diu,,,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Manipur,10369,5931,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Assam,164299,70625,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Uttarakhand,149549,54637,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Tripura,26487,11246,,2020,"Calendar Year (Jan - Dec), 2020"
India,2021,Uttar Pradesh,1277878,530106,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Northern Region,3215617,2409599,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Haryana,538565,287499,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Himachal Pradesh,112344,34770,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Jammu & Kashmir,142897,69302,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Punjab,459027,252685,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Rajasthan,474438,369374,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Chandigarh,81320,78153,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Delhi,1400864,1315663,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Ladakh,6161,2153,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,North Eastern Region,283662,125048,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Arunachal Pradesh,19525,4920,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Assam,173014,80871,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Manipur,12323,7115,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Meghalaya,25821,9719,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Mizoram,12000,5038,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Nagaland,12579,5432,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Tripura,28400,11952,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Eastern Region,1922787,799786,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Bihar,397492,159318,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Jharkhand,256070,76371,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Odisha,363567,143676,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Sikkim,10604,3800,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,West Bengal,889011,413827,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Andaman & Nicobar Islands,6043,2795,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Central Region,2069799,1004656,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Chhattisgarh,173217,108588,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Madhya Pradesh,453372,307614,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Uttarakhand,165333,58348,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Western Region,4090626,3531416,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Goa,85771,21038,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Gujarat,830161,580273,,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Maharashtra,3163108,2926015,,2021,"Calendar Year (Jan - Dec), 2021"
